지역명,건축/조형물,레포츠,문화체험,산업관광지,쇼핑,숙박시설,역사관광지,음식점,자연관광지,체험관광지,휴양관광지
강원 강릉시,5.0,61.0,32.0,4.0,15.0,45.0,21.0,228.0,52.0,26.0,14.0
강원 고성군,6.0,28.0,11.0,1.0,5.0,9.0,14.0,30.0,49.0,7.0,4.0
강원 동해시,3.0,11.0,1.0,1.0,4.0,13.0,9.0,19.0,25.0,6.0,8.0
강원 삼척시,2.0,28.0,10.0,1.0,6.0,12.0,16.0,28.0,53.0,15.0,12.0
강원 속초시,3.0,17.0,18.0,0.0,7.0,45.0,8.0,64.0,31.0,10.0,14.0
강원 양구군,3.0,16.0,8.0,0.0,2.0,6.0,21.0,10.0,17.0,4.0,1.0
강원 양양군,2.0,49.0,5.0,1.0,2.0,33.0,21.0,26.0,66.0,15.0,2.0
강원 영월군,0.0,120.0,27.0,2.0,5.0,20.0,21.0,25.0,37.0,9.0,4.0
강원 원주시,3.0,61.0,25.0,4.0,17.0,12.0,38.0,100.0,20.0,11.0,9.0
강원 인제군,1.0,47.0,14.0,0.0,1.0,18.0,11.0,19.0,37.0,11.0,2.0
강원 정선군,1.0,34.0,13.0,2.0,6.0,32.0,9.0,22.0,29.0,15.0,3.0
강원 철원군,4.0,32.0,1.0,0.0,4.0,20.0,35.0,45.0,20.0,4.0,2.0
강원 춘천시,11.0,62.0,49.0,4.0,11.0,18.0,29.0,97.0,20.0,23.0,18.0
강원 태백시,4.0,13.0,7.0,0.0,5.0,7.0,20.0,11.0,12.0,9.0,2.0
강원 평창군,1.0,79.0,21.0,3.0,5.0,183.0,30.0,410.0,30.0,55.0,14.0
강원 홍천군,0.0,90.0,7.0,6.0,3.0,39.0,6.0,17.0,18.0,17.0,12.0
강원 화천군,3.0,22.0,8.0,1.0,3.0,19.0,24.0,11.0,20.0,9.0,5.0
강원 횡성군,2.0,50.0,7.0,2.0,4.0,16.0,6.0,46.0,13.0,9.0,3.0
