지역중분류명,관람매출,사회및기타매출,쇼핑매출,스포츠매출,오락매출,취미매출,휴식매출,관람이용,사회및기타이용,쇼핑이용,스포츠이용,오락이용,취미이용,휴식이용
1111,923455225,2676670245,13596900016,2418913650,199305022,10140556517,30486200,12772,57774,1723663,78102,16673,307070,2004
1114,30473050,2031385907,29155428116,15281047724,176118200,3045793576,2.90E+11,2105,45513,2180503,215350,9359,71131,3979961
1117,362066450,2159414454,19864927964,3271357078,175797578,2353108442,1.52E+11,17210,48804,1863151,38578,5322,33205,2200862
1120,159910540,1524672018,35209274557,2015184383,370388780,2061357621,60653300,9684,35113,2084573,55547,14654,43752,4038
1121,0,2673399749,23975861785,3323779943,931926885,2610332200,73690420,0,63716,2323945,119571,31127,62476,2718
1123,0,1376218916,26751018525,2481651239,496376550,1628774016,34941400,0,31043,2427412,115209,19629,46077,3235
1126,0,1806088575,20133844545,2310019355,787264077,2231310245,38097300,0,44261,1954180,103835,14353,66818,3305
1129,17433700,922099936,25170566041,2016782128,261155081,2226831676,13745500,158,24269,2125593,100188,21396,57199,1113
1130,0,1874921742,18224679993,2243245044,740183001,1441586274,33903000,0,43650,1679042,85526,15366,39716,3263
1132,1749100,769699380,13956694569,1659918246,321489438,1137556974,2568300,162,19718,1297707,53136,4715,36686,137
1135,9371100,1793515567,40591269154,2350051896,663822876,3028779809,0,590,46019,2677982,140948,21086,96282,0
1138,0,1865257311,27118762695,2486856323,350451248,2458822964,43522300,0,42981,2338432,99308,16327,65197,4531
1141,72515340,1531713673,28270036929,2016365835,236722790,2305737931,39561300,6277,38327,2160195,93293,20747,57800,2922
1144,172745290,5036653703,31751415289,5969718373,772695453,6078318113,0,15897,124868,3080314,141660,33656,110797,0
1147,6893200,1751016914,36484164262,3476432660,621992461,2694408657,42076700,264,38772,2358770,111450,9525,65218,4143
1150,0,3113216619,44492433626,4722893344,997840184,3702615173,106170300,0,55140,3576528,163985,20516,95062,7788
1153,172379960,2467752755,34189855044,2452791863,780301431,2157076503,42985930,12767,54600,2810386,80930,21561,57527,3217
1154,54706500,1488273919,49401525470,2781277573,592287337,1660388612,25114100,3606,32793,2665165,84251,10424,43737,2391
1156,0,4438139908,72222849801,5801242499,800393518,2846707622,386466766,0,75096,3778938,112474,16264,61447,13336
1159,0,1418732304,20161646024,3125389405,367616937,1808798765,76581800,0,37015,2129584,108730,28886,50251,3026
1162,1465000210,2881167427,35434876489,3908833156,665116786,3209315585,12265510,88487,71207,3559982,191366,29227,88395,1381
1165,324100,3884154460,40083343581,7070093080,811126700,6204529223,106032512,29,50969,3025076,95413,16679,82566,6903
1168,261332592,14858663811,74393235242,34502477029,918360553,17311081508,355536680,13901,98329,5293420,336210,28769,220187,15452
1171,531006660,3554705054,84309626469,7780771438,1211572560,5713445734,61006970,19042,63887,4575094,189825,19732,125637,3768
1174,51153350,2222750616,25254996119,4430314075,471127725,2973496955,41718800,3611,51003,2359535,155368,9994,84047,4298
2611,116793950,1848154019,16495794049,1669505646,34564100,740894728,8699800,4919,24954,687872,36337,4332,14458,182
2614,0,292034577,4914003166,323049945,6425000,267798140,3159600,0,4275,509277,9518,219,7605,241
2617,0,1117814429,4902848373,216009280,4637900,253575232,33404060,0,13667,515084,15217,221,7200,1478
2620,0,734719758,5658499688,340796243,6563000,277368090,33076300,0,9493,502117,18355,191,8362,1546
2623,207758237,3823344208,51194966166,2997693319,309979410,3472690311,74764170,13358,68562,2772270,164965,29468,83118,3518
2626,0,2107671729,15707195247,2019077587,316788689,1523008154,190168028,0,29679,1410894,90559,8851,39095,11298
2629,0,885315147,16358162792,2104471177,145448047,1621124621,159078886,0,15379,1440191,114434,17286,42985,5416
2632,0,1300842593,13269855590,2350938304,262770674,1462629624,84370285,0,20183,1198887,106029,7172,42087,4070
2635,302754063,2242617401,62826633157,2538917443,277553290,3042476814,236680824,12504,22551,2470906,118351,11272,56037,14507
2638,0,2568535402,18050779658,1606269426,269674668,1386040996,105894300,0,39817,1561767,107377,7235,39903,4456
2641,426700,1012896767,14572622726,2629512220,229629610,1429362954,20824200,8,18005,1286983,114762,12242,36472,1003
2644,0,503538800,18202619515,3681236841,32459088,844477845,48025200,0,8259,1149314,100463,840,22995,2036
2647,0,1678401586,14612688117,1069140410,145476801,1039564311,135786290,0,19974,1120098,55572,3336,27163,4062
2650,0,1532787452,11449772889,1167834296,163268365,1102831455,14168900,0,25079,1134549,62802,6848,27866,671
2653,0,1504743575,23871127434,1840762273,282433430,1007889435,71562160,0,20460,1508315,95148,8657,27563,3364
