지역중분류명,관람매출,사회및기타매출,쇼핑매출,스포츠매출,오락매출,취미매출,휴식매출,관람이용,사회및기타이용,쇼핑이용,스포츠이용,오락이용,취미이용,휴식이용
1111,92595870,932632346,7872418300,998892203,50776210,7601567710,22457683,2392,22207,954702,37540,4747,235660,2025
1114,8431900,700087013,19826073195,8129909927,31705100,2166698005,1.86E+11,293,17159,1269321,114757,2078,41888,2440949
1117,111088350,645117977,11327007077,1422581323,33725000,1319421754,1.36E+11,4869,15060,1045685,18090,1030,19422,1968373
1120,30411690,640209318,25477701097,890799585,74775500,1124326792,25258200,2174,17399,1290651,28250,3875,26733,1684
1121,0,1118643177,15094833335,1337427882,217489700,1441979786,56266190,0,29440,1385483,62025,8249,34820,2228
1123,0,566759528,17295557788,1016869082,127433710,880636244,15245200,0,15370,1449424,66965,4502,25930,1570
1126,0,773084995,13299817025,875742003,190919400,1329383588,20567500,0,20864,1192726,54603,3760,44604,2006
1129,*,388211599,15949052556,694958873,69121100,1212695619,7872700,*,11449,1235702,46408,5988,31444,671
1130,0,776986155,11682603140,918098917,194982212,804873335,17970360,0,21244,1021216,52813,4231,23274,1780
1132,0,347304921,9095397737,702867940,65548740,659429444,1920900,0,9456,795581,36077,1031,21518,92
1135,0,826213521,27912035387,939759478,146456555,1884763750,409500,0,23344,1642073,84480,6452,62991,35
1138,0,780050635,17385472638,1074320763,91574520,1436358874,27963600,0,20680,1399501,59751,5047,39308,2807
1141,21583200,639379769,18704365476,1042446565,60187561,1416094460,7295300,2122,17493,1314384,59927,5624,35014,687
1144,58808320,1873220563,20512408117,2475946281,189967105,3512780550,19976027,4261,46709,1815953,68513,9735,64129,1001
1147,0,750503518,24757933869,1202289790,140567900,1574283551,24971500,0,20187,1465026,66335,2358,39397,2252
1150,0,1262435111,27389957855,1695892539,251191036,2150113401,35965864,0,26016,2144490,91623,4897,56385,3354
1153,22804100,1095414491,22042393497,929300446,179248436,1976610756,25592400,1810,25562,1697054,46668,5962,52389,2287
1154,11969600,628654542,29012953631,1028510767,131366635,1012170904,13960900,945,15116,1571553,45559,2580,25518,1394
1156,0,1890197103,37433783122,2745594581,177935368,1661180922,45197220,0,34947,2153682,62874,3641,36663,2731
1159,0,614642165,12942183461,982058360,86485800,1068290312,42438700,0,18244,1275470,69021,8339,29899,2119
1162,550094550,1162049643,22332453045,1562308579,161212950,1886772418,7490500,31884,32797,2173056,110448,7723,54178,833
1165,0,2177647044,29949781152,2683485066,172885000,3714178660,55483800,0,23135,1837803,52772,4583,50544,3122
1168,82397194,6340583552,45572119972,14516322596,200869786,10941828980,146615272,4484,43519,3149678,179778,7186,146096,7784
1171,128723120,1497054037,52729221363,3020473204,328601605,3428498619,18605800,6401,31965,2820515,123242,6364,77027,1168
1174,15024000,997195317,15659403954,1849937985,115377120,1811499075,9384800,1235,26232,1401623,93277,3059,49439,1002
2611,22988600,495704761,10363712191,784270530,29364200,407522180,3504500,1460,9747,417737,20589,1878,8550,60
2614,0,67117650,3076712424,141722511,3470000,179311492,2002000,0,1358,306617,6155,94,4713,221
2617,0,227261610,3013966641,68418310,3721500,141203356,27450355,0,3623,305137,3926,110,4059,1201
2620,0,205315606,3364332623,105589660,3699000,151668375,25497100,0,4330,280553,8649,112,4697,1197
2623,55476700,1184974592,32723233997,1424039403,157125500,2026858248,71761100,4287,26951,1731882,98931,13468,49856,3473
2626,0,617148163,10846049433,910501066,162325388,949541015,154361810,0,11772,904321,58698,3629,24580,9679
2629,0,359386895,10464534809,885957500,60610000,975560656,100260095,0,7273,898190,73851,6978,26253,3267
2632,0,403235149,9651786777,922170236,130519089,919967990,41486600,0,9461,781986,56252,3162,27122,2529
2635,58479670,556074223,39747239350,1108778521,133921800,1890536945,198616800,3445,9121,1582068,76128,5601,36053,11707
2638,0,782901502,12033832176,780808357,106576837,792023470,76090800,0,15845,977246,66539,3285,23064,4150
2641,0,321026140,9406689434,1043880990,100203547,870809567,26402200,0,7710,807636,62295,4044,22712,1588
2644,0,187016420,12481341675,1198440830,6888600,536873579,30861600,0,3424,704895,36735,130,14987,2020
2647,0,424178668,8415956557,465858450,63031500,667254401,154370803,0,6368,702462,37965,1413,16128,4016
2650,0,417730463,7779540590,554999549,75369612,593359956,10633400,0,8630,728977,41550,2898,15175,525
2653,0,425550210,15940120317,758666316,142578555,553135175,49005300,0,7514,908588,48677,3506,15875,2813
2671,0,253705986,7044438412,535484470,58703600,609167470,42554714,0,5168,554118,30308,1728,17576,2276
2711,53428750,300415960,16255950278,1670849897,22630700,959838324,0,4101,7969,624288,57782,2405,24949,0
2714,0,218450310,22544205927,1168862400,48535500,685325603,19039554,0,6353,1265577,55064,706,21896,1327
2717,0,75522010,8120430147,719297721,37881000,307247148,20401100,0,1780,625920,29524,515,9289,1290
2720,0,39623150,6084288653,255379095,19540020,304628092,36055,0,900,565329,33363,342,8991,4
2723,0,249890700,25966663475,1841022982,92394535,1065010715,19762506,0,7121,1686304,138454,2100,36480,1913
2726,887500,473926657,17914522209,2370800690,74957100,1573346421,20159700,142,8925,1392101,98552,1662,42862,1516
2729,0,600302567,31870397976,3369520619,242005135,1807682420,106548700,0,14526,2259283,170095,4409,60127,4917
2771,0,161589984,12636607304,789292931,40611200,526075424,7559400,0,4465,901733,46451,449,19589,414
2811,0,190921171,6892270833,826507465,31584501,353678616,8904800,0,4162,575969,22004,1702,9664,856
2814,0,43600810,1879515157,66277650,8880100,76424560,0,0,1356,120352,4444,74,2436,0
2817,0,574720034,14542826086,916900766,179556957,854799915,141900,0,12989,1201946,56779,3071,25385,19
2818,0,732763414,14928242603,2296277725,194802300,1480291906,1453000,0,11237,999634,59846,2175,38286,110
2820,0,876526187,20126510916,1538603435,284253600,1804793235,15776000,0,18107,1513570,83089,4080,48503,1171
2823,0,1113027459,18192005250,2904592040,204890157,1475277147,0,0,26320,1471058,95854,6708,41161,0
2824,0,591254785,13613594172,778243573,170130912,803184087,16117600,0,13671,911025,50803,2870,24102,1523
2826,1807798,1040288176,24703816777,2765971166,326013918,1620817119,22785450,101,22678,1561183,87904,4308,42281,2397
2871,188979600,35700900,2458150996,176918980,2621000,68640300,5246000,9303,549,135243,5224,62,1841,480
2872,0,6960000,903544819,1304010,0,1559000,0,0,83,53055,65,0,76,0
2911,26298600,381803000,6231419812,1007594210,18455900,762037645,1880200,1573,9515,499100,32097,1888,18899,62
2914,10319500,1375477980,20656009406,3462544388,166831055,1917093612,50153800,727,20803,1269645,104575,3619,46356,2537
2915,0,404915843,10514820481,895662955,45210000,923277213,46900400,0,8449,690627,49813,1155,24992,2137
2917,0,1119479760,23752314568,1660344886,181492100,1557704470,23995300,0,24270,1659647,136396,3630,46579,1451
2920,2683500,1230063350,26449950090,2570820952,196200400,2306174018,40046300,139,23856,1688370,132717,4515,63036,3075
3011,84000,125125800,5905654839,458515946,105312729,338729927,6697200,6,3644,470132,32349,1481,10967,773
3014,0,210953695,7777286635,490004785,101561500,523953889,12985000,0,5780,504867,33786,1939,15010,785
3017,0,636304753,14124372919,996199467,179495325,1356880180,1812500,0,16131,1001568,90858,4229,36208,151
3020,251800,285358950,12562325042,1336196134,146029800,1040703858,55123900,20,5245,820910,59173,3811,29826,3909
3023,0,134352970,4497397374,306953400,115849312,276553958,667569,0,2874,361281,20598,1445,9315,46
3111,10836300,111999900,6198701917,324442813,86461200,420992590,54765000,901,2604,511099,18220,1157,12899,2753
3114,26044550,896960049,19431995851,1946598781,230842708,1444261563,294286670,2016,13869,1219396,91838,5152,34526,11409
3117,0,230079041,6213946278,226945449,59826500,269241841,22069820,0,4702,517164,19469,826,9617,1693
3120,0,74282600,8095725473,1662573554,134456000,412214540,49348500,0,1608,569573,52917,1202,14042,2493
3171,0,234411860,9103064283,613973502,47171500,328511822,159506100,0,4966,664647,39805,508,10092,8685
3611,0,132723950,7773644548,499097343,68721400,675513860,12844400,0,2933,597311,23741,908,19209,977
4111,0,2067259206,84909066332,4276754612,453978250,5497657249,17605000,0,46132,4413791,214604,14187,141405,1134
4113,121202016,2184140466,64241349848,4374880537,431564646,4532895713,2.54E+11,8001,42636,3548898,154687,8850,95728,3526600
4115,0,561107714,22272553988,1338919571,120108700,1711355271,0,0,11851,1423386,74583,4419,42996,0
4117,20004200,1388589191,21722199803,2452695991,157295279,2210851634,11694000,1310,26616,1738073,95396,5791,58869,1004
4119,15102800,1290510426,26741200011,1977404213,182665750,1990728117,26009600,1409,25888,1879019,126070,8817,53725,2155
4121,0,498124757,11780148306,870590382,64640500,1024145681,0,0,12423,879494,55886,1627,28543,0
4122,8295250,902924912,34209363475,1799435403,202698879,2067351882,2886100,737,17236,2344632,97081,3515,57708,276
4125,35300,124656800,3790722222,168845800,8892500,226961765,72400,4,2627,248703,10069,594,6714,7
4127,27217400,1515262208,57267466508,3493061466,552384020,2867163540,31055034,1807,34455,3256764,163737,8010,84552,2868
4128,16434800,1138472562,65181778267,5256602727,347083223,5202511680,24931314,1333,27305,3424762,165805,5995,105230,2275
4129,0,7887000,2451755811,102754693,1315000,186956680,2121900,0,269,144500,4102,191,4150,130
4131,0,387810272,9908488428,1418597888,51251500,631878095,17053400,0,10174,624119,46222,2102,16254,1826
4136,474500,711017016,35568306186,3269198753,115378433,2320467973,18326800,36,17387,1858407,86728,3062,60906,1920
4137,5462100,438095415,14123910304,991937701,156197500,1008755606,8448500,493,8167,929700,50299,2452,26616,701
4139,0,1105432861,42543000994,2085333987,359259077,1915925898,0,0,19913,2415328,100407,4828,58208,0
4141,10012400,766999391,13327479870,1016704295,105721610,803088483,558700,715,19307,847852,47982,2167,26312,70
4143,0,121891164,5493245204,253446372,23927000,283283078,3468000,0,3672,407774,11128,591,9312,288
4145,2764450,288707277,29080516692,1859241334,43091025,904282298,0,286,6744,1165396,45726,1333,23219,0
4146,3299600,816566106,45331132556,8369566440,194894110,6856634229,17731820,196,20047,2769505,154635,7187,89188,1529
4148,111142030,389885287,23141749708,3571087370,144417625,1550213395,17123100,6512,9585,1403470,72106,3752,37885,1318
