지역중분류명,관람매출,사회및기타매출,쇼핑매출,스포츠매출,오락매출,취미매출,휴식매출,관람이용,사회및기타이용,쇼핑이용,스포츠이용,오락이용,취미이용,휴식이용
1111,438171700,2453934084,12976483767,2318237241,141360300,10663682696,25252300,10322,54459,1718183,82346,13843,331977,2094
1114,9723000,2011949482,24099972239,16395559956,102982700,3899954626,2.9952E+11,455,45510,2156030,231859,6889,79612,4050152
1117,244739510,1710263480,18799491654,3457725546,120084601,2191663218,2.04977E+11,10845,39414,1844299,44670,3689,33397,3033162
1120,60310150,1487570132,34480477989,2325504651,233249115,2008816873,45124830,4209,38310,2147001,62212,12137,44394,3007
1121,0,2522935949,22830014026,3352093735,655012627,2522480259,428455198,0,63391,2328893,143499,24999,61374,2721
1123,0,1295174986,26902907273,2420563762,314876370,1553586063,27273700,0,32932,2432566,140013,15180,46238,2866
1126,0,1652054575,19197469145,2279096559,471781285,2103334506,32711200,0,41874,1916756,123696,9319,69432,2988
1129,7104000,791890132,23486888360,1668477815,180468833,1979603793,10394400,152,22664,2085737,98076,17525,53081,838
1130,0,1663560292,17245932614,2263275121,462544744,1350560515,30888400,0,41417,1648264,111954,10069,39287,2694
1132,961500,763032689,13360630931,1730246110,230059383,1071704697,736500,69,19828,1289399,77127,3394,36440,84
1135,0,1751527292,40891832294,2210958706,428292066,3046726988,0,0,46468,2746248,170455,17800,104423,0
1138,0,1654663088,24924046675,2541385145,247465524,2322302792,33142050,0,40768,2268078,126162,12329,64612,3190
1141,33837300,1507294954,27787203798,2375452878,160734827,2301556856,24227300,2925,39038,2200040,122238,16319,59069,1951
1144,73562420,4595555935,31466753396,6140912345,580156900,6002110442,26728850,5894,112518,3123402,158010,27201,108586,1576
1147,1590700,1619808693,36394974895,3280266688,374454688,2651631380,36054500,91,39246,2389379,132443,6179,66499,3352
1150,0,2821999312,43807329273,4598496864,695614990,3637840082,89976529,0,52578,3614616,201993,13689,97231,6341
1153,49970901,2383047806,31791824681,2703776963,572482147,3156582339,41627800,3825,53906,2754065,106169,17071,78557,3656
1154,28590410,1387586557,46160765044,2594502551,402123525,1605916783,19944600,1928,31278,2636783,100576,7955,42973,2003
1156,0,4325276027,72174051631,6338512929,521368410,2766059108,51444700,0,75781,3977513,141408,11448,61761,2924
1159,0,1336619227,19558206556,2746260038,250843354,1802201060,81553700,0,37155,2133410,140457,23594,50086,3691
1162,829629090,2723369356,33607735735,3865921832,518932786,3103099162,13266900,48021,69867,3562633,239560,22284,90585,1419
1165,1500000,3810335054,39243279062,7360475943,518970280,6264956628,79686600,11,51141,3120838,116349,12740,86780,4917
1168,190854762,17262088702,70858368405,35798253719,578830200,17835359626,348979807,8966,102256,5439200,379070,20620,231960,14908
1171,333807702,3319422119,83263519919,8222847479,888039367,5667937078,38837340,12406,65273,4724090,239780,16247,127449,2230
1174,44375200,2149845271,24031648222,4667401897,289790715,2925470563,22142750,2209,51696,2319631,190170,7194,82645,2259
2611,48324300,1235833568,15082582421,1386278570,44180615,652690416,5048300,2968,20378,672176,34988,3876,13929,121
2614,0,169490236,4651593920,319040862,4300700,271508102,3197500,0,3282,498220,11262,145,7563,185
2617,0,747428646,4603871140,184323316,10102200,222840196,34530300,0,10021,500908,8408,403,6736,1517
2620,0,522913746,5164644636,237352780,7439000,247682320,17468400,0,9187,464674,15679,211,7788,770
2623,124766300,3330993275,48597334344,2902386334,320669137,3417733241,85770666,8995,64192,2837844,171815,28927,82739,3807
2626,0,1664512798,15503777831,1892756943,340699696,1517718324,195364200,0,27498,1427053,95889,8057,41166,11803
2629,0,861411330,15713774932,2091506862,136964058,1685569723,90732963,0,15752,1471100,122305,16391,44609,3065
2632,0,1026931919,12624066724,2280481405,293661600,1456843677,55319310,0,20269,1205605,106778,7405,43612,3224
2635,147673190,1689384658,60674437070,2286765388,278353203,2970732064,264375235,8740,20814,2493683,119583,10941,57003,14987
2638,0,1896762356,17483679580,1536509484,243547485,1258122716,80213720,0,34413,1557641,109863,7242,38440,4208
