지역중분류명,관람매출,사회및기타매출,쇼핑매출,스포츠매출,오락매출,취미매출,휴식매출,관람이용,사회및기타이용,쇼핑이용,스포츠이용,오락이용,취미이용,휴식이용
1111,387870670,1768123516,13545151610,2035782494,102821900,10272651779,11445800,12473,45890,1804194,75317,11872,322630,874
1114,33504970,1585499261,25988983679,13212430805,88850680,4399494415,2.89E+11,2173,41152,2293609,218107,6347,85538,3925189
1117,290193603,1364736021,20809329011,3374284919,61710912,2190757697,2.06E+11,17456,33599,1980642,40716,2467,32449,3036903
1120,168008750,1178723650,35993512960,2022210510,159937346,1966203091,44100700,9856,30925,2252415,59201,10286,43341,2809
1121,0,2034819841,24006844975,3075430916,485160915,2472577217,93355820,0,53830,2430789,127035,20643,60122,1989
1123,0,960996357,27917946641,2305657744,288711640,1506627679,28448904,0,27680,2553472,122295,13944,44247,2006
1126,0,1412239124,20164636435,1898082719,376377616,2037565441,22747500,0,39269,2035671,109205,8232,66215,2063
1129,7472900,717263637,24895752116,1626993882,129659700,1996266585,6254500,312,20642,2179765,89351,15090,53593,416
1130,0,1346663370,18241115487,1795953879,406139600,1338570212,22764800,0,36594,1750493,91037,9572,38939,1949
1132,100000,634187817,14047489511,1377367010,153785894,1072044464,1239300,7,18432,1360962,61464,2568,35820,72
1135,0,1383295963,41283892132,1973226971,346677362,2903688939,0,0,40246,2829281,153398,15088,98725,0
1138,0,1277061918,27076070250,2049007917,202575349,2362347656,28944533,0,36174,2429835,104121,11775,64009,2533
1141,68996930,1104072815,27635519555,2036070158,124628070,2235845960,15479300,6490,31676,2285057,102442,14275,57640,1235
1144,155997640,3390432139,32521812686,5531126704,397977176,5942177379,10958850,13245,87857,3270081,140625,22048,105878,567
1147,1023900,1407030287,37606012121,3047036743,284653492,2552162715,25782210,32,35206,2532311,117813,4720,65269,2199
1150,0,2148846879,42716603585,4319285008,577933925,3496542253,72830592,0,46258,3763344,177415,12506,93256,4476
1153,176360310,2047107612,32528027654,2406221644,428541235,2735317466,26127168,11582,49052,2926405,91959,14218,62375,2134
1154,61832650,1169882317,43143152127,2302453536,288561251,1543834032,19095900,4096,28853,2849487,89188,6489,41747,1802
1156,0,3224038131,66053490757,5225385526,378388345,2707955485,320915639,0,61894,4005291,122218,9929,61002,11017
1159,0,1118498340,20653728839,3305048892,213947964,1705969843,58752000,0,32817,2246595,119691,21061,49518,1865
1162,1499572900,2063959064,35133349943,3364817599,386791470,2983080152,9304500,87776,60204,3721031,206564,19970,87428,981
1165,0,2323879914,41275110401,6958083663,377817062,5942150684,60222100,0,39653,3288015,108040,10155,82557,3667
1168,201942499,9086125102,68802805049,32718613836,419072183,17259670857,344238811,12035,84809,5682943,354544,17771,226007,12381
1171,507470105,2607586158,80718012589,7373873821,756514170,5688148543,40875710,19563,54595,4872111,210252,13873,126847,2772
1174,59651450,1551815361,25175644355,4337667208,229708210,2838347818,18033001,4149,43508,2464373,166218,5628,82709,1969
2611,113055510,1273930050,14635578968,1097259330,16999450,555541560,8257700,5767,19542,693311,33491,2542,12678,130
2614,0,221794860,5084578869,248082001,1461000,244813933,1225300,0,3724,540360,10136,56,6902,114
2617,0,741756613,4898111278,156115000,7125000,208554276,22944500,0,9987,528340,12112,213,6208,910
2620,0,544651425,5509360191,235244658,3749000,232931475,12976800,0,7789,498238,14093,101,7590,626
2623,243115920,2884133067,47196248660,2345943812,188598760,3189701205,54931212,15920,52624,2839168,152720,20080,77719,2259
2626,0,1632662393,16328838446,1787037750,162124492,1438826834,151646100,0,25869,1477241,96625,4553,38540,7144
2629,0,730306362,16259024791,2032621346,85924200,1488805300,200504600,0,13612,1478846,115003,12208,40433,3352
2632,0,961950340,13719413533,1686623236,155437000,1350143021,36762520,0,17531,1251091,101923,4418,40983,1436
2635,215491830,1707150425,57005167448,2334035188,154667470,2910496118,206572865,14083,21241,2587271,121813,8051,55417,9921
2638,0,1929122248,18357571559,1314869115,136213000,1170091286,60509134,0,33934,1623440,102874,4454,35728,2845
2641,0,763894877,14239496747,2068477213,119921200,1242249905,8668900,0,14816,1333070,109754,7925,33281,358
2644,0,376110704,19487048974,2649803295,14429300,852427714,31517850,0,7362,1237355,80823,316,23796,1315
2647,0,1215241175,15955531492,964954690,71571708,941711624,172939855,0,16794,1201846,61687,1842,25806,3966
2650,0,1186337646,12126086601,1054473564,103162877,1017206547,9400900,0,22014,1222040,61241,4288,27057,363
2653,0,1148601643,22962212328,1500772899,159246170,880354837,28403400,0,17373,1565098,87387,5993,25635,1214
2671,0,506813345,12341546636,1156725253,67477550,974454460,30478124,0,9575,944061,62186,2580,29643,1501
2711,232126573,434745250,19653246427,2154343203,21870800,1431088291,0,14157,12228,994330,79464,3145,37061,0
2714,0,542396413,29107222835,2252834783,58454001,1167564571,6684000,0,12370,2050621,78819,988,38360,656
2717,0,305944640,12804746795,881142490,45659600,491415651,7523900,0,4803,1073725,27639,564,15593,134
2720,0,137322826,9525571466,348579680,27717500,473027961,0,0,2923,961694,39242,439,14264,0
2723,0,671399790,38150653605,3069706554,150686500,1711296177,12057000,0,15814,2840043,190305,4002,59477,1279
2726,27000,1133824852,27651044600,4212367743,102489675,2373715590,3331000,5,18731,2305498,140608,2634,69922,347
2729,0,1328879980,47968030206,4974443957,388880940,2713941738,101546780,0,28963,3771071,230905,7141,95868,5856
2771,0,334650200,19810039061,1331892926,71531400,791322645,1383100,0,8372,1550427,67723,960,31152,9
2811,0,293442894,11348388254,2089737865,75207880,621096670,11655900,0,7253,1125627,65357,3766,17007,1068
2814,*,82533800,3013452321,108204870,15267000,113607327,0,*,2731,221368,5804,181,3882,0
2817,0,1030727775,22102919981,1821658340,327478310,1348917292,0,0,24820,2065712,100514,7122,43090,0
2818,0,1371566790,27008318435,4709571560,417800000,2289182167,19071000,0,22503,1849717,122642,4495,58470,1442
2820,2544400,1536542461,32200320819,3378433907,585016103,2848805889,19823000,19,34482,2634227,152191,8939,76597,1608
2823,0,1877636744,27601620958,4983829868,451090132,2340589894,0,0,46753,2495211,176644,17221,67712,0
2824,0,969129318,20493077359,1679088642,382522327,1240903958,14976500,0,24141,1539305,91299,6088,39183,1485
2826,9673200,1691620320,37252346796,5472753354,721510322,2580549438,22732650,529,38623,2742957,168662,9271,70495,2368
2871,570743500,84074450,4764167002,420279000,9345000,115043020,6195100,20349,1140,296705,13368,184,3234,509
2872,0,25443500,1843108461,297768450,1059000,4536500,0,0,256,111873,6600,18,194,0
2911,155403700,1050704950,10429647832,1442601171,43943700,1138271276,1414500,8742,24687,906334,57157,4184,28910,46
2914,73926850,4503858238,30416061737,6381039074,297681372,3096102883,68187400,4643,56955,2128493,165347,8060,78266,2637
2915,*,973323468,16302904094,1804827647,110217700,1444170403,71394600,*,20404,1186750,75668,2932,41455,2423
2917,0,2668193628,36541010826,2990650958,372900101,2567891316,27230800,0,56736,2834366,207398,8526,79980,1668
2920,63631250,3729902771,40119813673,4987773071,378398819,3695108937,42116000,3024,61096,2924254,216536,8880,106366,2760
3011,180500,295028495,9888623676,638500924,122045701,517012273,3271300,13,8046,799668,45636,2668,17685,407
3014,902600,465947586,11266981613,719152827,120467160,800245666,6669500,98,11770,834778,45354,2733,22858,400
3017,0,1200878372,22734420540,1627176132,221599290,2113456365,353000,0,28313,1640354,108866,6276,55637,28
3020,3627400,963518770,19403288396,2265389108,197954700,1580357793,50534400,253,11163,1410289,85504,6556,45826,3366
3023,0,379009850,7097365263,517741922,128266301,424177750,621500,0,5937,610277,26937,2012,14420,30
3111,49347800,512065833,10467282732,579119250,122534500,725625025,40309200,3142,8026,931448,30878,1776,22040,1619
3114,126842200,3526002792,28641560438,3638492882,324754431,2366953834,285560565,8414,37481,2111667,139013,9430,55707,8813
3117,0,774840940,10721836456,369953659,83911000,447340372,13914300,0,11534,950954,27954,1032,16546,826
3120,0,270984900,12615461563,2691760321,225753235,699834391,23087100,0,4593,984928,87181,2220,24657,801
3171,0,731768204,14659129161,1241310261,103223500,578460418,124093925,0,10441,1146876,61327,1156,16968,5598
3611,0,488296937,12036146254,1175645314,247009050,1277891994,9064300,0,8821,1094931,50774,3445,35781,624
4111,0,3524911705,1.27E+11,9375913758,881862705,8453818443,31638100,0,81419,7490395,409378,29458,224793,2021
4113,605238418,3971177072,96178308216,10777065558,798368457,6934974505,3.76E+11,35968,74155,6114542,293866,20386,153142,5324527
4115,0,850612039,33658526801,2652639412,347220497,2635542602,4995600,0,20808,2434611,127569,10322,70647,500
4117,80505787,2258043881,34062288203,5403098369,417991220,3486172090,4075200,4811,44312,3024001,175203,13755,94088,464
4119,39201610,2232664136,42112641741,4557540888,459491522,3199488986,55670700,3395,49790,3353690,236341,20685,86402,3825
4121,0,694577924,18413457271,2070767407,182459500,1571117333,0,0,21261,1514892,103331,4260,46025,0
4122,57844600,1433440894,53579756557,4050833960,350107250,3324738903,2867100,4920,30108,4179631,191236,7940,96325,335
4125,393500,171081336,6030224524,315862870,24749000,386193203,222400,16,3818,443858,19830,1583,11791,28
4127,166764400,2440204434,85937436680,7902346297,1145714947,4659570797,29592500,10051,60320,5795327,327510,19326,140705,2698
4128,74407450,1957884204,94942457815,14674005902,553758089,8436633164,27740600,5558,46941,5816207,330502,10480,174288,1975
4129,321000,15568000,3909576891,241296422,2884000,301591243,2791900,18,477,268473,4558,337,6479,176
4131,0,600951529,15828402885,2797024860,149615918,1032500409,5196300,0,15828,1076253,86687,5207,27935,594
4136,27568520,1277319340,56604023086,10148668286,248861150,3889252831,21997200,1792,31509,3348037,193527,6804,104902,2399
4137,43499300,665234403,22018063155,2262234117,385089500,1498146606,9462100,3596,13763,1630234,99457,6386,43085,735
4139,0,1929236034,63527234918,4919710150,800105439,3074385004,0,0,38442,4221727,210358,10710,95762,0
4141,47335900,1199394006,19952629025,2025679519,239695932,1208659993,694700,2920,31003,1456358,85829,4796,40647,58
4143,0,233607067,8074114324,848085889,52279500,447682540,4534000,0,7034,705729,31537,1461,15371,234
4145,16686400,523643997,44927396683,5135429039,98833500,1747857173,0,1516,12523,2085645,114896,3910,42683,0
4146,16199400,1269144746,68928201624,31969203311,490044108,10447802708,24840900,782,33437,4935664,374636,18973,147910,1929
4148,206651130,703356826,38099909336,18797731640,390339893,2603553360,29883200,11940,17738,2607848,189199,9390,65246,2256
4150,0,453750274,20449793551,8961919991,123838574,1373352480,2293000,0,10639,1400544,87636,5128,32777,207
4155,16663470,291085251,27557401289,12342717564,96689636,609197331,578500,1257,8064,1493863,110600,1552,19865,50
4157,0,1028788520,49059414015,4672008232,493659600,2728218894,11032300,0,20589,3006249,138902,7268,70825,538
4159,0,1892810249,83196008835,8755842598,775165521,5893607191,8232000,0,36824,5937826,276175,14587,152863,670
4161,25198300,631151845,32466775591,12159454682,432027200,2019493146,49196700,2031,15900,2144196,142315,4155,52814,4048
4163,19380800,379702767,20942997650,1218173612,35987500,945841851,0,1200,9971,1225632,54109,1270,29669,0
4165,2627500,240975777,13193025505,2027961452,60544999,572288091,0,154,5671,931842,51207,3093,16386,0
4167,44571000,122008676,7063199635,10261128806,73038500,374365122,1920000,4951,2645,565808,56463,706,8968,129
4180,0,38696033,1677493270,102150360,5562500,55087458,0,0,953,131167,5215,126,2164,0
