지역중분류명,지역명
1111,종로구(서울특별시)
1114,중구(서울특별시)
1117,용산구(서울특별시)
1120,성동구(서울특별시)
1121,광진구(서울특별시)
1123,동대문구(서울특별시)
1126,중랑구(서울특별시)
1129,성북구(서울특별시)
1130,강북구(서울특별시)
1132,도봉구(서울특별시)
1135,노원구(서울특별시)
1138,은평구(서울특별시)
1141,서대문구(서울특별시)
1144,마포구(서울특별시)
1147,양천구(서울특별시)
1150,강서구(서울특별시)
1153,구로구(서울특별시)
1154,금천구(서울특별시)
1156,영등포구(서울특별시)
1159,동작구(서울특별시)
1162,관악구(서울특별시)
1165,서초구(서울특별시)
1168,강남구(서울특별시)
1171,송파구(서울특별시)
1174,강동구(서울특별시)
2611,중구(부산광역시)
2614,서구(부산광역시)
2617,동구(부산광역시)
2620,영도구(부산광역시)
2623,부산진구(부산광역시)
2626,동래구(부산광역시)
2629,남구(부산광역시)
2632,북구(부산광역시)
2635,해운대구(부산광역시)
2638,사하구(부산광역시)
2641,금정구(부산광역시)
2644,강서구(부산광역시)
2647,연제구(부산광역시)
2650,수영구(부산광역시)
2653,사상구(부산광역시)
2671,기장군(부산광역시)
2711,중구(대구광역시)
2714,동구(대구광역시)
2717,서구(대구광역시)
2720,남구(대구광역시)
2723,북구(대구광역시)
2726,수성구(대구광역시)
2729,달서구(대구광역시)
2771,달성군(대구광역시)
2811,중구(인천광역시)
2814,동구(인천광역시)
2817,미추홀구(인천광역시)
2818,연수구(인천광역시)
2820,남동구(인천광역시)
2823,부평구(인천광역시)
2824,계양구(인천광역시)
2826,서구(인천광역시)
2871,강화군(인천광역시)
2872,옹진군(인천광역시)
2911,동구(광주광역시)
2914,서구(광주광역시)
2915,남구(광주광역시)
2917,북구(광주광역시)
2920,광산구(광주광역시)
3011,동구(대전광역시)
3014,중구(대전광역시)
3017,서구(대전광역시)
3020,유성구(대전광역시)
3023,대덕구(대전광역시)
3111,중구(울산광역시)
3114,남구(울산광역시)
3117,동구(울산광역시)
3120,북구(울산광역시)
3171,울주군(울산광역시)
3611,세종시(세종)
4111,수원시(경기도)
4113,성남시(경기도)
4115,의정부시(경기도)
4117,안양시(경기도)
4119,부천시(경기도)
4121,광명시(경기도)
4122,평택시(경기도)
4125,동두천시(경기도)
4127,안산시(경기도)
4128,고양시(경기도)
4129,과천시(경기도)
4131,구리시(경기도)
4136,남양주시(경기도)
4137,오산시(경기도)
4139,시흥시(경기도)
4141,군포시(경기도)
4143,의왕시(경기도)
4145,하남시(경기도)
4146,용인시(경기도)
4148,파주시(경기도)
4150,이천시(경기도)
4155,안성시(경기도)
4157,김포시(경기도)
4159,화성시(경기도)
4161,광주시(경기도)
4163,양주시(경기도)
4165,포천시(경기도)
4167,여주시(경기도)
4180,연천군(경기도)
4182,가평군(경기도)
4183,양평군(경기도)
4211,춘천시(강원도)
4213,원주시(강원도)
4215,강릉시(강원도)
4217,동해시(강원도)
4219,태백시(강원도)
4221,속초시(강원도)
4223,삼척시(강원도)
4272,홍천군(강원도)
4273,횡성군(강원도)
4275,영월군(강원도)
4276,평창군(강원도)
4277,정선군(강원도)
4278,철원군(강원도)
4279,화천군(강원도)
4280,양구군(강원도)
4281,인제군(강원도)
4282,고성군(강원도)
4283,양양군(강원도)
4311,청주시(충청북도)
4313,충주시(충청북도)
4315,제천시(충청북도)
4372,보은군(충청북도)
4373,옥천군(충청북도)
4374,영동군(충청북도)
4375,진천군(충청북도)
4376,괴산군(충청북도)
4377,음성군(충청북도)
4378,증평군(충청북도)
4380,단양군(충청북도)
4413,천안시(충청남도)
4415,공주시(충청남도)
4418,보령시(충청남도)
4420,아산시(충청남도)
4421,서산시(충청남도)
4423,논산시(충청남도)
4425,계룡시(충청남도)
4427,당진시(충청남도)
4471,금산군(충청남도)
4476,부여군(충청남도)
4477,서천군(충청남도)
4479,청양군(충청남도)
4480,홍성군(충청남도)
4481,예산군(충청남도)
4482,태안군(충청남도)
4511,전주시(전라북도)
4513,군산시(전라북도)
4514,익산시(전라북도)
4518,정읍시(전라북도)
4519,남원시(전라북도)
4521,김제시(전라북도)
4571,완주군(전라북도)
4572,진안군(전라북도)
4573,무주군(전라북도)
4574,장수군(전라북도)
4575,임실군(전라북도)
4577,순창군(전라북도)
4579,고창군(전라북도)
4580,부안군(전라북도)
4611,목포시(전라남도)
4613,여수시(전라남도)
4615,순천시(전라남도)
4617,나주시(전라남도)
4623,광양시(전라남도)
4671,담양군(전라남도)
4672,곡성군(전라남도)
4673,구례군(전라남도)
4677,고흥군(전라남도)
4678,보성군(전라남도)
4679,화순군(전라남도)
4680,장흥군(전라남도)
4681,강진군(전라남도)
4682,해남군(전라남도)
4683,영암군(전라남도)
4684,무안군(전라남도)
4686,함평군(전라남도)
4687,영광군(전라남도)
4688,장성군(전라남도)
4689,완도군(전라남도)
4690,진도군(전라남도)
4691,신안군(전라남도)
4711,포항시(경상북도)
4713,경주시(경상북도)
4715,김천시(경상북도)
4717,안동시(경상북도)
4719,구미시(경상북도)
4721,영주시(경상북도)
4723,영천시(경상북도)
4725,상주시(경상북도)
4728,문경시(경상북도)
4729,경산시(경상북도)
4772,군위군(경상북도)
4773,의성군(경상북도)
4775,청송군(경상북도)
4776,영양군(경상북도)
4777,영덕군(경상북도)
4782,청도군(경상북도)
4783,고령군(경상북도)
4784,성주군(경상북도)
4785,칠곡군(경상북도)
4790,예천군(경상북도)
4792,봉화군(경상북도)
4793,울진군(경상북도)
4794,울릉군(경상북도)
4812,창원시(경상남도)
4817,진주시(경상남도)
4822,통영시(경상남도)
4824,사천시(경상남도)
4825,김해시(경상남도)
4827,밀양시(경상남도)
4831,거제시(경상남도)
4833,양산시(경상남도)
4872,의령군(경상남도)
4873,함안군(경상남도)
4874,창녕군(경상남도)
4882,고성군(경상남도)
4884,남해군(경상남도)
4885,하동군(경상남도)
4886,산청군(경상남도)
4887,함양군(경상남도)
4888,거창군(경상남도)
4889,합천군(경상남도)
5011,제주시(제주특별자치도)
5013,서귀포시(제주특별자치도)
