지역중분류명,sum_vlm_10,sum_vlm_20_24,sum_vlm_25_29,sum_vlm_30_34,sum_vlm_35_39,sum_vlm_40_44,sum_vlm_45_49,sum_vlm_50_54,sum_vlm_55_59,sum_vlm_60_64,sum_vlm_65_69,sum_vlm_70,sum_vlm_x,sum_usec_10,sum_usec_20_24,sum_usec_25_29,sum_usec_30_34,sum_usec_35_39,sum_usec_40_44,sum_usec_45_49,sum_usec_50_54,sum_usec_55_59,sum_usec_60_64,sum_usec_65_69,sum_usec_70,sum_usec_x
1111,515478315,6537754701,11564816886,9648712877,7954937550,9009950976,9176065107,10330340090,7466881152,5902778853,3638630684,4061814268,18890435595,63305,708250,1223300,952478,748192,761998,705556,768223,530102,398571,238492,229457,615881
1114,360332510,25051595483,86233431333,1.19E+11,1.49E+11,1.87E+11,1.66E+11,1.49E+11,93117268153,65604122993,38236263866,38030478058,1.21E+11,39349,663471,1773409,2144183,2580613,3377211,3182039,2884627,1828650,1374149,931655,1139298,1614335
1117,239051882,20489952269,70496123958,84285272780,88160560237,1.05E+11,1.00E+11,97436040202,61538079791,41296688719,23250486912,21150366228,82681803210,49259,641116,1654645,1826223,1878730,2312022,2227759,2127105,1389723,1037288,651296,674192,964011
1120,234407419,4937080021,11925365876,13285506262,12891993032,15517728736,13772842561,15855390555,13102260205,10855046845,6506384095,7113152394,25841516127,46944,532441,1106435,980154,791681,806148,730931,829261,664479,545655,303586,297087,703428
1121,394640130,7480904302,13489551763,11539700836,9189138572,9847497048,10439116024,13190367889,10921123036,8914534054,5469385090,5985658788,10473194998,85709,886026,1441458,1108812,823170,827541,821571,957054,750084,588812,359206,332176,463464
1123,314012005,6120604172,11132648472,9026749393,9088722180,10781937064,11027627536,13619394596,10963467978,10051719965,6698065804,7191038615,12178265537,79044,872163,1442140,966154,820182,879542,845641,976546,753986,645933,415675,405357,537442
1126,335454713,3672643045,8085969427,8044670110,7592603426,8975851068,9323285076,11768332766,10637515907,9280561720,5743254610,5216627472,6767465373,72215,493329,944252,837423,722327,785561,744392,896563,755915,622097,382786,325429,347746
1129,346940088,5546745793,9561013456,7946589447,7728968515,9682460556,10767022961,13311845089,10268342624,9017121961,6232155882,7170683692,8876437098,75957,764182,1149993,799214,664771,741966,781959,920357,669807,565909,365130,393168,406409
1130,270482490,4049220074,7511653452,6582515414,6037698298,7639803352,8489449276,10633404472,8812522813,8069424481,5399410359,6276118010,5350299716,58288,496135,816864,642816,544289,630719,659974,775343,623930,528157,345817,383388,267670
1132,184828550,2161479582,4187631682,4349308737,4556568766,6097893129,6668990166,8106399982,6948966534,6443961403,4361766769,4420541200,4677394995,48434,329014,529604,466739,440419,532806,541891,621174,491509,416315,280184,264276,219317
1135,611505729,7292699151,11498192714,11580183201,13178829893,18652636224,21610450884,24366833192,17740775875,14997988003,9267308875,9588029264,15981134301,142442,962556,1220859,915237,867427,1092984,1219764,1345867,965889,790033,502240,491915,507201
1138,417976525,4334016973,8997059383,9073453699,9343956290,11664690425,12542117601,15007117966,12153672907,11145950852,7479442028,8632670908,9046301211,103352,564081,989215,891604,796040,928496,952836,1085265,827996,728892,473823,503052,412804
1141,396705146,7708523891,15289765839,11396231764,8917552475,9607637720,10220298065,13458161904,10572480936,9290798230,6214544166,8020111004,12682115690,88651,874417,1484136,933057,680962,687083,714801,863233,675704,558094,366905,404869,423295
1144,519092471,12183827028,24858074556,20775537803,15676739561,15497311263,14204817315,15460643109,11485353163,9070234845,5666788526,6473369585,23389126821,100216,1174305,2274023,1713876,1214071,1132071,1043484,1080997,754880,575369,348290,349028,934371
