"","관람이용","사회및기타이용","쇼핑이용","스포츠이용","오락이용","취미이용","휴식이용"
"서울 종로구",37959,180330,6200742,273305,47135,1197337,6997
"서울 중구",5026,149334,7899463,780073,24673,278169,14396251
"서울 용산구",50380,136877,6733777,142054,12508,118473,10239300
"서울 성동구",25923,121747,7774640,205210,40952,158220,11538
"서울 광진구",0,210377,8469110,452130,85018,218792,9656
"서울 동대문구",0,107025,8862874,444482,53255,162492,9677
"서울 중랑구",0,146268,7099333,391339,35664,247069,10362
"서울 성북구",622,79024,7626797,334023,59999,195317,3038
"서울 강북구",0,142905,6099015,341330,39238,141216,9686
"서울 도봉구",238,67434,4743649,227804,11708,130464,385
"서울 노원구",590,156077,9895584,549281,60426,362421,35
"서울 은평구",0,140603,8435846,389342,45478,233126,13061
"서울 서대문구",17814,126534,7959676,377900,56965,209523,6795
"서울 마포구",39297,371952,11289750,508808,92640,389390,3144
"서울 양천구",387,133411,8745486,428041,22782,236383,11946
"서울 강서구",0,179992,13098978,635016,51608,341934,21959
"서울 구로구",29984,183120,10187910,325726,58812,250848,11294
"서울 금천구",10575,108040,9722988,319574,27448,153975,7590
"서울 영등포구",0,247718,13915424,438974,41282,220873,30008
"서울 동작구",0,125231,7785059,437899,81880,179754,10701
"서울 관악구",256168,234075,13016702,747938,79204,320586,4614
"서울 서초구",40,164898,11271732,372574,44157,302447,18609
"서울 강남구",39386,328913,19565241,1249602,74346,824250,50525
"서울 송파구",57412,215720,16991810,763099,56216,456960,9938
"서울 강동구",11204,172439,8545162,605033,25875,298840,9528
"부산 중구",15114,74621,2471096,125405,12628,49615,493
"부산 서구",0,12639,1854474,37071,514,26783,761
"부산 동구",0,37298,1849469,39663,947,24203,5106
"부산 영도구",0,30799,1745582,56776,615,28437,4139
"부산 부산진구",42560,212329,10181164,588431,91943,293432,13057
"부산 동래구",0,94818,5219509,341771,25090,143381,39924
"부산 남구",0,52016,5288327,425593,52863,154280,15100
"부산 북구",0,67444,4437569,370982,22157,153804,11259
"부산 해운대구",38772,73727,9133928,435875,35865,204510,51122
"부산 사하구",0,124009,5720094,386653,22216,137135,15659
"부산 금정구",13,57801,4798633,397384,34855,131444,3949
"부산 강서구",0,26707,4242741,286930,1751,85873,8190
"부산 연제구",0,59955,4196543,218734,9844,95650,16955
"부산 수영구",0,77622,4270210,232121,22567,96786,2111
"부산 사상구",0,62632,5479744,330015,27331,95416,10400
"부산 기장군",0,35454,3277409,214058,11797,107212,10345
"대구 중구",37913,72483,3645233,316520,15717,141139,0
"대구 동구",0,50039,7382630,298485,6480,141657,4692
"대구 서구",0,19686,3767041,120473,4005,57681,2446
"대구 남구",0,10873,3423936,157622,3422,53600,15
"대구 북구",0,62452,10081105,719282,22799,230155,8503
"대구 수성구",684,76288,8130661,521648,15379,260112,3587
"대구 달서구",0,115686,13291058,886781,42135,366462,26545
"대구 달성군",0,32574,5391560,250350,5855,118674,618
"인천 중구",0,29826,3766804,224175,15062,60745,4784
"인천 동구",0,9436,756163,23430,727,14523,0
"인천 미추홀구",0,99472,7225640,375242,30548,157067,19
"인천 연수구",0,82629,6339602,434479,20997,213400,6139
"인천 남동구",29,136770,9157395,552197,39420,282209,7167
"인천 부평구",0,185078,8747277,658643,66335,249635,42
