지역중분류명,지역명
1111,서울 종로구
1114,서울 중구
1117,서울 용산구
1120,서울 성동구
1121,서울 광진구
1123,서울 동대문구
1126,서울 중랑구
1129,서울 성북구
1130,서울 강북구
1132,서울 도봉구
1135,서울 노원구
1138,서울 은평구
1141,서울 서대문구
1144,서울 마포구
1147,서울 양천구
1150,서울 강서구
1153,서울 구로구
1154,서울 금천구
1156,서울 영등포구
1159,서울 동작구
1162,서울 관악구
1165,서울 서초구
1168,서울 강남구
1171,서울 송파구
1174,서울 강동구
2611,부산 중구
2614,부산 서구
2617,부산 동구
2620,부산 영도구
2623,부산 부산진구
2626,부산 동래구
2629,부산 남구
2632,부산 북구
2635,부산 해운대구
2638,부산 사하구
2641,부산 금정구
2644,부산 강서구
2647,부산 연제구
2650,부산 수영구
2653,부산 사상구
2671,부산 기장군
2711,대구 중구
2714,대구 동구
2717,대구 서구
2720,대구 남구
2723,대구 북구
2726,대구 수성구
2729,대구 달서구
2771,대구 달성군
2811,인천 중구
2814,인천 동구
2817,인천 미추홀구
2818,인천 연수구
2820,인천 남동구
2823,인천 부평구
2824,인천 계양구
2826,인천 서구
2871,인천 강화군
2872,인천 옹진군
2911,광주 동구
2914,광주 서구
2915,광주 남구
2917,광주 북구
2920,광주 광산구
3011,대전 동구
3014,대전 중구
3017,대전 서구
3020,대전 유성구
3023,대전 대덕구
3111,울산 중구
3114,울산 남구
3117,울산 동구
3120,울산 북구
3171,울산 울주군
3611,세종.
4111,경기 수원시
4113,경기 성남시
4115,경기 의정부시
4117,경기 안양시
4119,경기 부천시
4121,경기 광명시
4122,경기 평택시
4125,경기 동두천시
4127,경기 안산시
4128,경기 고양시
4129,경기 과천시
4131,경기 구리시
4136,경기 남양주시
4137,경기 오산시
4139,경기 시흥시
4141,경기 군포시
4143,경기 의왕시
4145,경기 하남시
4146,경기 용인시
4148,경기 파주시
4150,경기 이천시
4155,경기 안성시
4157,경기 김포시
4159,경기 화성시
4161,경기 광주시
4163,경기 양주시
4165,경기 포천시
4167,경기 여주시
4180,경기 연천군
4182,경기 가평군
4183,경기 양평군
4211,강원 춘천시
4213,강원 원주시
4215,강원 강릉시
4217,강원 동해시
4219,강원 태백시
4221,강원 속초시
4223,강원 삼척시
4272,강원 홍천군
4273,강원 횡성군
4275,강원 영월군
4276,강원 평창군
4277,강원 정선군
4278,강원 철원군
4279,강원 화천군
4280,강원 양구군
4281,강원 인제군
4282,강원 고성군
4283,강원 양양군
4311,충북 청주시
4313,충북 충주시
4315,충북 제천시
4372,충북 보은군
4373,충북 옥천군
4374,충북 영동군
4375,충북 진천군
4376,충북 괴산군
4377,충북 음성군
4378,충북 증평군
4380,충북 단양군
4413,충남 천안시
4415,충남 공주시
4418,충남 보령시
4420,충남 아산시
4421,충남 서산시
4423,충남 논산시
4425,충남 계룡시
4427,충남 당진시
4471,충남 금산군
4476,충남 부여군
4477,충남 서천군
4479,충남 청양군
4480,충남 홍성군
4481,충남 예산군
4482,충남 태안군
4511,전북 전주시
4513,전북 군산시
4514,전북 익산시
4518,전북 정읍시
4519,전북 남원시
4521,전북 김제시
4571,전북 완주군
4572,전북 진안군
4573,전북 무주군
4574,전북 장수군
4575,전북 임실군
4577,전북 순창군
4579,전북 고창군
4580,전북 부안군
4611,전남 목포시
4613,전남 여수시
4615,전남 순천시
4617,전남 나주시
4623,전남 광양시
4671,전남 담양군
4672,전남 곡성군
4673,전남 구례군
4677,전남 고흥군
4678,전남 보성군
4679,전남 화순군
4680,전남 장흥군
4681,전남 강진군
4682,전남 해남군
4683,전남 영암군
4684,전남 무안군
4686,전남 함평군
4687,전남 영광군
4688,전남 장성군
4689,전남 완도군
4690,전남 진도군
4691,전남 신안군
4711,경북 포항시
4713,경북 경주시
4715,경북 김천시
4717,경북 안동시
4719,경북 구미시
4721,경북 영주시
4723,경북 영천시
4725,경북 상주시
4728,경북 문경시
4729,경북 경산시
4772,경북 군위군
4773,경북 의성군
4775,경북 청송군
4776,경북 영양군
4777,경북 영덕군
4782,경북 청도군
4783,경북 고령군
4784,경북 성주군
4785,경북 칠곡군
4790,경북 예천군
4792,경북 봉화군
4793,경북 울진군
4794,경북 울릉군
4812,경남 창원시
4817,경남 진주시
4822,경남 통영시
4824,경남 사천시
4825,경남 김해시
4827,경남 밀양시
4831,경남 거제시
4833,경남 양산시
4872,경남 의령군
4873,경남 함안군
4874,경남 창녕군
4882,경남 고성군
4884,경남 남해군
4885,경남 하동군
4886,경남 산청군
4887,경남 함양군
4888,경남 거창군
4889,경남 합천군
5011,제주 제주시
5013,제주 서귀포시
