내가 쓸 변수명,2021 변수명
ID,ID
Q1_A1,Q1_A
Q1_A2,Q1_A_M2
Q1_A3,Q1_A_M3
Q1_A4,Q1_A_M4
Q1_A5,Q1_A_M5
Q1_A6,Q1_A_M6
Q1_A7,Q1_A_M7
Q1_A8,Q1_A_M8
Q1_B1,Q1_B
Q1_B2,Q1_B_M2
Q1_B3,Q1_B_M3
Q1_B4,Q1_B_M4
Q1_B5,Q1_B_M5
Q1_B6,Q1_B_M6
Q1_B7,Q1_B_M7
Q1_C1,Q1_C
Q1_C2,Q1_C_M2
Q1_C3,Q1_C_M3
Q1_C4,Q1_C_M4
Q1_D1,Q1_D
Q1_D2,Q1_D_M2
Q1_D3,Q1_D_M3
Q1_D4,Q1_D_M4
Q1_D5,Q1_D_M5
Q1_D6,Q1_D_M6
Q1_D7,Q1_D_M7
Q1_D8,Q1_D_M8
Q1_D9,Q1_D_M9
Q1_D10,Q1_D_M10
Q1_D11,Q1_D_M11
Q1_D12,Q1_D_M12
Q1_D13,Q1_D_M13
Q1_D14,Q1_D_M14
Q1_D15,Q1_D_M15
Q1_D16,Q1_D_M16
Q1_D17,Q1_D_M17
Q1_D18,Q1_D_M18
Q1_E1,Q1_E
Q1_E2,Q1_E_M2
Q1_E3,Q1_E_M3
Q1_E4,Q1_E_M4
Q1_E5,Q1_E_M5
Q1_E6,Q1_E_M6
Q1_E7,Q1_E_M7
Q1_E8,Q1_E_M8
Q1_E9,Q1_E_M9
Q1_E10,Q1_E_M10
Q1_E11,Q1_E_M11
Q1_F1,Q1_F
Q1_F2,Q1_F_M2
Q1_F3,Q1_F_M3
Q1_F4,Q1_F_M4
Q1_F5,Q1_F_M5
Q1_F6,Q1_F_M6
Q1_F7,Q1_F_M7
Q1_F8,Q1_F_M8
Q1_F9,Q1_F_M9
Q1_F10,Q1_F_M10
Q1_F11,Q1_F_M11
Q1_F12,Q1_F_M12
Q1_F13,Q1_F_M13
Q1_F14,Q1_F_M14
Q1_F15,Q1_F_M15
Q1_F16,Q1_F_M16
Q1_F17,Q1_F_M17
Q1_F18,Q1_F_M18
Q1_F19,Q1_F_M19
Q1_F20,Q1_F_M20
Q1_F21,Q1_F_M21
Q1_F22,Q1_F_M22
Q1_G1,Q1_G
Q1_G2,Q1_G_M2
Q1_G3,Q1_G_M3
Q1_G4,Q1_G_M4
Q1_G5,Q1_G_M5
Q1_G6,Q1_G_M6
Q1_G7,Q1_G_M7
Q1_G8,Q1_G_M8
Q1_G9,Q1_G_M9
Q1_H1,Q1_H
Q1_H2,Q1_H_M2
Q1_H3,Q1_H_M3
Q1_H4,Q1_H_M4
Q1_H5,Q1_H_M5
Q1_H6,Q1_H_M6
Q1_H7,Q1_H_M7
Q1_H8,Q1_H_M8
Q1_H9,Q1_H_M9
Q2_1_1,Q2_1_N2
Q2_1_2,Q2_1_N2_M2
Q2_1_3,Q2_1_N2_M3
Q2_1_4,Q2_1_N2_M4
Q2_1_5,Q2_1_N2_M5
Q2_2_1,Q2_2_1
Q2_2_2,Q2_2_2
Q2_2_3,Q2_2_3
Q2_3_1,Q2_3_1
Q2_3_2,Q2_3_2
Q2_3_3,Q2_3_3
Q2_5_1,Q2_5_1
Q2_5_2,Q2_5_2
Q2_5_3,Q2_5_3
Q2_6_1,Q2_6_1
Q2_6_2,Q2_6_2
Q2_6_3,Q2_6_3
Q3,Q3
Q4_1,Q4
Q4_2,Q4_M2
Q4_3,Q4_M3
Q5,Q5
Q6,Q6
Q7_2,Q7_N2
Q9,Q9
