내가 쓸 변수명,통합 변수명
ID,ID
year,year
Q1_A1,Q1_1
Q1_A2,Q1_2
Q1_A3,Q1_3
Q1_A4,Q1_4
Q1_A5,Q1_5
Q1_A6,Q1_6
Q1_A7,Q1_7
Q1_A8,Q1_8
Q1_B1,Q1_9
Q1_B2,Q1_10
Q1_B3,Q1_11
Q1_B4,Q1_12
Q1_B5,Q1_13
Q1_B6,Q1_14
Q1_B7,Q1_15
Q1_C1,Q1_16
Q1_C2,Q1_17
Q1_C3,Q1_18
Q1_C4,Q1_19
Q1_D1,Q1_20
Q1_D2,Q1_21
Q1_D3,Q1_22
Q1_D4,Q1_23
Q1_D5,Q1_24
Q1_D6,Q1_25
Q1_D7,Q1_26
Q1_D8,Q1_27
Q1_D9,Q1_28
Q1_D10,Q1_29
Q1_D11,Q1_30
Q1_D12,Q1_31
Q1_D13,Q1_32
Q1_D14,Q1_33
Q1_D15,Q1_34
Q1_D16,Q1_35
Q1_D17,Q1_36
Q1_D18,Q1_37
Q1_E1,Q1_38
Q1_E2,Q1_39
Q1_E3,Q1_40
Q1_E4,Q1_41
Q1_E5,Q1_42
Q1_E6,Q1_43
Q1_E7,Q1_44
Q1_E8,Q1_45
Q1_E9,Q1_46
Q1_E10,Q1_47
Q1_E11,Q1_48
Q1_F1,Q1_49
Q1_F2,Q1_50
Q1_F3,Q1_51
Q1_F4,Q1_52
Q1_F5,Q1_53
Q1_F6,Q1_54
Q1_F7,Q1_55
Q1_F8,Q1_56
Q1_F9,Q1_57
Q1_F10,Q1_58
Q1_F11,Q1_59
Q1_F12,Q1_60
Q1_F13,Q1_61
Q1_F14,Q1_62
Q1_F15,Q1_63
Q1_F16,Q1_64
Q1_F17,Q1_65
Q1_F18,Q1_66
Q1_F19,Q1_67
Q1_F20,Q1_68
Q1_F21,Q1_69
Q1_F22,Q1_70
Q1_G1,Q1_71
Q1_G2,Q1_72
Q1_G3,Q1_73
Q1_G4,Q1_74
Q1_G5,Q1_75
Q1_G6,Q1_76
Q1_G7,Q1_77
Q1_G8,Q1_78
Q1_G9,Q1_79
Q1_H1,Q1_80
Q1_H2,Q1_81
Q1_H3,Q1_82
Q1_H4,Q1_83
Q1_H5,Q1_84
Q1_H6,Q1_85
Q1_H7,Q1_86
Q1_H8,Q1_87
Q1_H9,Q1_88
Q2_1_1,Q2_1_1
Q2_1_2,Q2_1_2
Q2_1_3,Q2_1_3
Q2_1_4,Q2_1_4
Q2_1_5,Q2_1_5
Q2_2_1,Q2_2_1
Q2_2_2,Q2_2_2
Q2_2_3,Q2_2_3
Q2_3_1,Q2_3_1
Q2_3_2,Q2_3_2
Q2_3_3,Q2_3_3
Q2_5_1,Q2_5_1_N
Q2_5_2,Q2_5_2_N
Q2_5_3,Q2_5_3_N
Q2_6_1,Q2_6_1
Q2_6_2,Q2_6_2
Q2_6_3,Q2_6_3
Q3,Q3
Q4_1,Q4_1
Q4_2,Q4_2
Q4_3,Q4_3
Q5,Q5
Q6,Q6
Q7_2,Q7_2_N
Q9,Q9_N
Q9_1,Q9_1
Q10,Q10_N
Q11_1_A,Q11_1_A
Q11_2_A,Q11_2_A
Q11_3_A,Q11_3_A
Q11_1_B,Q11_1_B
Q11_2_B,Q11_2_B
Q11_3_B,Q11_3_B
Q11_1_C,Q11_1_C
Q11_2_C,Q11_2_C
Q11_3_C,Q11_3_C
Q11_1_D,Q11_1_D
Q11_2_D,Q11_2_D
Q11_3_D,Q11_3_D
Q11_1_E,Q11_1_E
Q11_2_E,Q11_2_E
Q11_3_E,Q11_3_E
Q11_1_F,Q11_1_F
Q11_2_F,Q11_2_F
Q11_3_F,Q11_3_F
Q11_1_G,Q11_1_G
Q11_2_G,Q11_2_G
Q11_3_G,Q11_3_G
Q11_1_H,Q11_1_H
Q11_2_H,Q11_2_H
Q11_3_H,Q11_3_H
Q12_1_A,Q12_1_A
Q12_2_A,Q12_2_A
Q12_3_A,Q12_3_A
Q12_1_B,Q12_1_B
Q12_2_B,Q12_2_B
Q12_3_B,Q12_3_B
Q12_1_C,Q12_1_C
Q12_2_C,Q12_2_C
Q12_3_C,Q12_3_C
Q12_1_D,Q12_1_D
Q12_2_D,Q12_2_D
Q12_3_D,Q12_3_D
Q12_1_E,Q12_1_E
Q12_2_E,Q12_2_E
Q12_3_E,Q12_3_E
Q12_1_F,Q12_1_F
Q12_2_F,Q12_2_F
Q12_3_F,Q12_3_F
Q12_1_G,Q12_1_G
Q12_2_G,Q12_2_G
Q12_3_G,Q12_3_G
Q12_1_H,Q12_1_H
Q12_2_H,Q12_2_H
Q12_3_H,Q12_3_H
Q13_1_1,Q13_1_1_N
Q13_2_1,Q13_2_1
Q13_3_1,Q13_3_1
Q13_4_1,Q13_4_1_N
Q13_1_2,Q13_1_2_N
Q13_2_2,Q13_2_2
Q13_3_2,Q13_3_2
Q13_4_2,Q13_4_2_N
Q16_1,Q16_1
Q16_2,Q16_2
Q16_3,Q16_3
Q17_1,Q17_1
Q17_2,Q17_2
Q17_3,Q17_3
Q18_1,Q18_1
Q18_2,Q18_2
Q18_3,Q18_3
Q18_4,Q18_4
Q19,Q19
Q20,Q20
Q22,Q22
Q22_1,Q22_1
Q24_1,Q24_1_N
Q24_2,Q24_2_N
Q25,Q25
Q26_1,Q26_1
Q26_2,Q26_2
Q26_3,Q26_3
Q26_4,Q26_4
Q26_5,Q26_5
Q26_6,Q26_6
Q26_7,Q26_7
Q26_1_1,Q26_1_1
Q26_1_2,Q26_1_2
Q26_1_3,Q26_1_3
Q27_1,Q27_1
Q27_2,Q27_2
Q27_3,Q27_3
Q27_4,Q27_4
Q27_5,Q27_5
Q27_6,Q27_6
Q27_7,Q27_7
Q28,Q28
Q30,Q30
Q30_1,Q30_1
Q31,Q31
Q32,Q32
현재 행복 수준,Q33
Q34,Q34
재직여부,Q36
Q37,Q37
Q37_1_1_1,Q37_1_1_1
Q37_1_1_2,Q37_1_1_2
Q37_1_1_3,Q37_1_1_3
Q37_1_1_4,Q37_1_1_4
Q37_1_1_5,Q37_1_1_5
Q37_1_1_6,Q37_1_1_6
Q37_1_1_7,Q37_1_1_7
Q37_1_1_8,Q37_1_1_8
Q37_1_1_9,Q37_1_1_9
Q37_1_1_10,Q37_1_1_10
Q37_1_1_11,Q37_1_1_11
Q37_1_1_12,Q37_1_1_12
Q37_1_1_13,Q37_1_1_13
Q37_1_1_14,Q37_1_1_14
Q37_1_1_15,Q37_1_1_15
Q37_2_1,Q37_2_1
Q37_1_2_1,Q37_1_2_1
Q37_1_2_2,Q37_1_2_2
Q37_1_2_3,Q37_1_2_3
Q37_1_2_4,Q37_1_2_4
Q37_1_2_5,Q37_1_2_5
Q37_1_2_6,Q37_1_2_6
Q37_1_2_7,Q37_1_2_7
Q37_1_2_8,Q37_1_2_8
Q37_1_2_9,Q37_1_2_9
Q37_1_2_10,Q37_1_2_10
Q37_1_2_11,Q37_1_2_11
Q37_1_2_12,Q37_1_2_12
Q37_1_2_13,Q37_1_2_13
Q37_1_2_14,Q37_1_2_14
Q37_1_2_15,Q37_1_2_15
Q37_2_2,Q37_2_2
Q38_1,Q38_1
Q38_2,Q38_2
Q38_3,Q38_3
SEX,DM1
AGE,DM2
Q49_1,Q49_1
Q49_2,Q49_2
DM11,DM11
